└─$ cat selected.txt commands.txt 
copy.txt:1:USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
copy.txt:119:root         564  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/R-led_w]
copy.txt:120:root         603  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/R-cfg80]
copy.txt:121:root         640  0.0  0.0      0     0 ?        S    06:25   0:01 [jbd2/sda6-8]
copy.txt:122:root         641  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/R-ext4-]
copy.txt:123:root         696  0.0  0.0   8276  6464 ?        Ss   06:25   0:00 /usr/sbin/haveged --Foreground --verbose=1
copy.txt:124:systemd+     697  0.0  0.0  91900  7936 ?        Ssl  06:25   0:00 /usr/lib/systemd/systemd-timesyncd
copy.txt:125:root         699  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/R-rpcio]
copy.txt:126:root         700  0.0  0.0      0     0 ?        I<   06:25   0:00 [kworker/R-xprti]
copy.txt:127:root         728  0.0  0.0 311420  7132 ?        Ssl  06:25   0:00 /usr/libexec/accounts-daemon
copy.txt:128:root         729  0.0  0.0   7048  2432 ?        Ss   06:25   0:00 /usr/sbin/cron -f
copy.txt:129:message+     730  0.0  0.0  10916  5504 ?        Ss   06:25   0:02 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
copy.txt:130:polkitd      732  0.0  0.0 311168 10300 ?        Ssl  06:25   0:01 /usr/lib/polkit-1/polkitd --no-debug
copy.txt:131:root         733  0.0  0.0  12156  6016 ?        Ss   06:25   0:00 /usr/sbin/smartd -n
copy.txt:132:root         734  0.0  0.0  19112  8832 ?        Ss   06:25   0:00 /usr/lib/systemd/systemd-logind
copy.txt:133:root         821  0.0  0.1 334992 19900 ?        Ssl  06:26   0:05 /usr/sbin/NetworkManager --no-daemon
copy.txt:134:root         830  0.0  0.0 318508 12224 ?        Ssl  06:26   0:00 /usr/sbin/ModemManager
copy.txt:135:root         878  0.0  0.0  18688 10752 ?        Ss   06:26   0:01 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
copy.txt:136:root         886  0.0  0.0 380352  6968 ?        SLsl 06:26   0:00 /usr/sbin/lightdm
copy.txt:137:root         896  4.8  0.8 1425300 144788 tty7   Ssl+ 06:26  22:16 /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
copy.txt:138:root         898  0.0  0.0   9480  2688 tty1     Ss+  06:26   0:00 /sbin/agetty -o -p -- \u --noclear - linux
copy.txt:139:root         930  0.0  0.0      0     0 ?        S    06:26   0:00 [psimon]
copy.txt:140:rtkit        960  0.0  0.0  22824  3200 ?        SNsl 06:26   0:00 /usr/libexec/rtkit-daemon
copy.txt:141:root        1049  0.0  0.0 234512  8020 ?        Sl   06:33   0:00 lightdm --session-child 13 24
copy.txt:142:stefx       1059  0.0  0.0  21400 11776 ?        Ss   06:33   0:00 /usr/lib/systemd/systemd --user
copy.txt:143:stefx       1060  0.0  0.0  21904  3260 ?        S    06:33   0:00 (sd-pam)
copy.txt:144:stefx       1075  0.2  0.1 122388 20868 ?        S<sl 06:33   0:57 /usr/bin/pipewire
copy.txt:145:stefx       1076  0.0  0.0  95620  5632 ?        Ssl  06:33   0:00 /usr/bin/pipewire -c filter-chain.conf
copy.txt:146:stefx       1078  0.0  0.2 644324 32792 ?        S<sl 06:33   0:04 /usr/bin/wireplumber
copy.txt:147:stefx       1079  0.5  0.1 117956 25688 ?        S<Lsl 06:33   2:26 /usr/bin/pipewire-pulse
copy.txt:148:stefx       1080  0.0  0.0 314872  9856 ?        SLsl 06:33   0:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
copy.txt:149:stefx       1081  0.0  0.0  10228  5500 ?        Ss   06:33   0:01 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
copy.txt:150:stefx       1105  0.0  0.1 340920 25064 ?        Ssl  06:33   0:04 xfce4-session
copy.txt:151:stefx       1155  0.0  0.0   9736  1540 ?        Ss   06:33   0:00 /usr/bin/ssh-agent x-session-manager
copy.txt:152:stefx       1165  0.0  0.0 383188  7808 ?        Ssl  06:33   0:00 /usr/libexec/at-spi-bus-launcher
copy.txt:153:stefx       1172  0.0  0.0   9576  4608 ?        S    06:33   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_0
copy.txt:154:stefx       1184  0.0  0.0 236440  8192 ?        Sl   06:33   0:02 /usr/libexec/at-spi2-registryd --use-gnome-session
copy.txt:155:stefx       1196  0.0  0.0  81660  3328 ?        SLs  06:33   0:00 /usr/bin/gpg-agent --supervised
copy.txt:156:stefx       1199  1.9  0.7 1418824 121588 ?      Sl   06:33   8:35 xfwm4 --display :0.0 --sm-client-id 2eb6c29be-fe4c-4248-b976-7332edaa44ea
copy.txt:157:stefx       1203  0.0  0.0 312332  7296 ?        Ssl  06:33   0:00 /usr/libexec/gvfsd
copy.txt:158:stefx       1209  0.0  0.0 457796  6528 ?        Sl   06:33   0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
copy.txt:159:stefx       1229  0.0  0.1 308000 30244 ?        Sl   06:33   0:02 xfsettingsd --display :0.0 --sm-client-id 204799618-5b79-4092-82c1-0699eb6e1720
copy.txt:160:root        1235  0.0  0.0 317200  9984 ?        Ssl  06:33   0:01 /usr/libexec/upowerd
copy.txt:161:stefx       1242  0.0  0.2 466148 45872 ?        Sl   06:33   0:13 xfce4-panel --display :0.0 --sm-client-id 2da4617d7-af28-491f-9206-cb4bbf729dbe
copy.txt:162:stefx       1247  0.0  0.3 546044 59492 ?        Sl   06:33   0:05 Thunar --sm-client-id 265b6d65c-8a7d-474a-a8a1-01b7cfe5207f --daemon
copy.txt:163:stefx       1253  0.0  0.5 579080 87520 ?        Sl   06:33   0:09 xfdesktop --display :0.0 --sm-client-id 2cc032946-19bd-4dd7-a260-35c094a8493d
copy.txt:164:stefx       1257  0.0  0.2 463892 43756 ?        Sl   06:33   0:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libwhiskermenu.so 1 16777223 whiskermenu Whisker Menu Show a menu to easily access installed applications
copy.txt:165:stefx       1261  0.3  0.5 331960 88876 ?        Sl   06:33   1:30 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libcpugraph.so 13 16777228 cpugraph CPU Graph Graphical representation of the CPU load
copy.txt:166:stefx       1262  0.0  0.2 461428 41176 ?        Sl   06:33   0:01 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libsystray.so 14 16777229 systray Status Tray Plugin Provides status notifier items (application indicators) and legacy systray items
copy.txt:167:stefx       1263  0.1  0.1 343664 31532 ?        Sl   06:33   0:50 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libgenmon.so 15 16777230 genmon Generic Monitor Show output of a command.
